frame,t,bx,by
0,0.0,640.0,576.0
1,0.04,650.7509678377268,575.9377949859266
2,0.08,661.495743415216,575.7512157720749
3,0.12,672.2281380388009,575.4403698229137
4,0.16,682.941970145902,575.0054361771154
5,0.2,693.6310688654359,574.4466653444351
6,0.24,704.2892775720666,573.7643791614241
7,0.28,714.9104574322515,572.9589706060601
8,0.32,725.48849094004,572.0309035714038
9,0.36,736.0172854405876,570.980712598408
10,0.4,746.4907766393562,569.8090025680384
11,0.44,756.9029320949812,568.5164483528774
12,0.48,767.2477546937896,567.1037944284174
13,0.52,777.5192861039727,565.5718544442624
14,0.56,787.7116102074201,563.921510755489
15,0.6,797.8188565072403,562.1537139144339
16,0.64,807.8352035090043,560.2694821232028
17,0.68,817.7548820737657,558.2699006472131
18,0.72,827.5721787409252,556.1561211901115
19,0.76,837.281439019026,553.9293612304248
20,0.8,846.8770706425844,551.5909033203254
21,0.84,856.3535467930799,549.142094346917
22,0.88,865.7054092822508,546.584344756465
23,0.92,874.9272716958584,543.9191277420183
24,0.96,884.0138224961137,541.1479783948905
25,1.0,892.9598280809759,538.2724928204905
26,1.04,901.7601357985625,535.2943272190091
27,1.08,910.4096769149343,532.215196931494
28,1.12,918.9034695335463,529.0368754518609
29,1.16,927.2366214646822,525.7611934054091
30,1.2,935.4043330432199,522.3900374944333
31,1.24,943.401899893107,518.9253494115343
32,1.28,951.2247156369504,515.369124721258
33,1.32,958.8682745491626,511.72341171070525
34,1.36,966.3281741511353,507.99031020977554
35,1.4,973.600117746945,504.17197038172253
36,1.44,980.6799168981314,500.2705914847198
37,1.48,987.563493836122,496.28842060514864
38,1.52,994.2468838109141,492.2277513633389
39,1.56,1000.7262373746607,488.09092259250644
40,1.6,1006.9978225988473,483.88031699165066
41,1.64,1013.0580272237777,479.59835975318487
42,1.68,1018.9033607391376,475.2475171660932
43,1.72,1024.5304563944308,470.83029519541606
44,1.76,1029.9360731381346,466.3492380388835
45,1.8,1035.1170974844565,461.8069266615278
46,1.84,1040.070545306615,457.205977309119
47,1.88,1044.793563555615,452.5490400012794
48,1.92,1049.2834319035246,447.83879700514575
49,1.96,1053.5375643103089,443.0779612904576
50,2.0,1057.5535105133174,438.2692749669615
51,2.04,1061.328957438568,433.4155077050318
52,2.08,1064.8617305330135,428.519455140417
53,2.12,1068.1497950170235,423.5839372640308
54,2.16,1071.1912570563618,418.6117967977155
55,2.2,1073.9843648529827,413.60589755691257
56,2.24,1076.5275096540179,408.5691228011842
57,2.28,1078.819226678373,403.50437357353576
58,2.32,1080.8581959604023,398.4145670294947
59,2.36,1082.643243110172,393.3026347569103
60,2.4,1084.1733399898756,388.17152108743943
61,2.44,1085.4476053060137,383.02418140069346
62,2.48,1086.4653051169944,377.8635804220211
63,2.52,1087.2258532558635,372.69269051490835
64,2.56,1087.7288116679204,367.5144899689798
65,2.6,1087.973890663025,362.33196128458576
66,2.64,1087.9609490824519,357.14808945496463
67,2.68,1087.6899943801939,351.9658602469693
68,2.72,1087.1611826186681,346.7882584813481
69,2.76,1086.3748183788293,341.61826631357053
70,2.8,1085.3313545847382,336.4588615161878
71,2.84,1084.0313922426908,331.3130157637189
72,2.88,1082.4756800950563,326.1836929210476
73,2.92,1080.6651141890195,321.0738473363184
74,2.96,1078.6007373604853,315.98642213931396
